"name","lat","long","population"
"Afghanistan",33,66,34700000
"Albania",41,20,2930000
"Algeria",28,3,40600000
"Andorra",42.50779,1.52109,77300
"Angola",-12.5,18.5,28800000
"Antigua and Barbuda",17.05,-61.8,101000
"Argentina",-34,-64,43800000
"Armenia",40.25,45,2920000
"Australia",-25,135,24100000
"Austria",47.33333,13.33333,8710000
"Azerbaijan",40.5,47.5,9730000
"Bahamas",25.04082,-77.37122,391000
"Bahrain",26.03333,50.55,1430000
"Bangladesh",24,90,163000000
"Barbados",13.16667,-59.53333,285000
"Belarus",53,28,9480000
"Belgium",50.75,4.5,11400000
"Belize",17.49952,-88.19756,367000
"Benin",9.5,2.25,10900000
"Bhutan",27.5,90.5,798000
"Bolivia",-17,-65,10900000
"Bosnia and Herzegovina",44.25,17.83333,3520000
"Botswana",-22,24,2250000
"Brazil",-10,-55,208000000
"Brunei",4.5,114.66667,423000
"Bulgaria",42.66667,25.25,7130000
"Burkina Faso",12.5,-1.66667,18600000
"Burundi",-3.5,30,10500000
"Cambodia",13,105,15800000
"Cameroon",6,12.5,23400000
"Canada",60.10867,-113.64258,36300000
"Cape Verde",16,-24,540000
"Central African Republic",7,21,4590000
"Chad",15,19,14500000
"Chile",-33.45694,-70.64827,17900000
"China",35,105,1400000000
"Colombia",4,-73.25,48700000
"Comoros",-12.23333,44.44553,796000
"Congo, Dem. Rep.",-2.5,23.5,78700000
"Congo, Rep.",-1,15.5,5130000
"Costa Rica",10,-84,4860000
"Cote d'Ivoire",8,-5.5,23700000
"Croatia",45.16667,15.5,4210000
"Cuba",22,-79.5,11500000
"Cyprus",35,33,1170000
"Czech Republic",49.75,15,10600000
"Denmark",56,10,5710000
"Djibouti",11.58901,43.14503,942000
"Dominica",15.5,-61.33333,73500
"Dominican Republic",19,-70.66667,10600000
"Ecuador",-1.25,-78.25,16400000
"Egypt",27,30,95700000
"El Salvador",13.83333,-88.91667,6340000
"Equatorial Guinea",1.7,10.5,1220000
"Eritrea",15,39,4950000
"Estonia",59,26,1310000
"Ethiopia",9,39.5,102000000
"Fiji",-18,178,899000
"Finland",64,26,5500000
"France",46,2,64700000
"Gabon",-1,11.75,1980000
"Gambia",13.5,-15.5,2040000
"Georgia",41.99998,43.4999,3930000
"Germany",51.5,10.5,81900000
"Ghana",8.1,-1.2,28200000
"Greece",39,22,11200000
"Grenada",12.11667,-61.66667,107000
"Guatemala",14.64072,-90.51327,16600000
"Guinea",10.83333,-10.66667,12400000
"Guinea-Bissau",12,-15,1820000
"Guyana",5,-59,773000
"Haiti",19,-72.41667,10800000
"Honduras",15,-86.5,9110000
"Hungary",47,20,9750000
"Iceland",65,-18,332000
"India",22,79,1320000000
"Indonesia",-5,120,261000000
"Iran",32,53,80300000
"Iraq",33,44,37200000
"Ireland",53,-8,4730000
"Israel",31.5,34.75,8190000
"Italy",42.83333,12.83333,59400000
"Jamaica",18.16667,-77.25,2880000
"Japan",35.68536,139.75309,128000000
"Jordan",31,36,9460000
"Kazakhstan",48,68,18000000
"Kenya",1,38,48500000
"Kiribati",1.421,172.984,114000
"North Korea",40,127,25400000
"South Korea",36.5,127.75,50800000
"Kuwait",29.36972,47.97833,4050000
"Kyrgyz Republic",41.5,75,5960000
"Lao",18,105,6760000
"Latvia",57,25,1970000
"Lebanon",33.83333,35.83333,6010000
"Lesotho",-29.5,28.25,2200000
"Liberia",6.5,-9.5,4610000
"Libya",28,17,6290000
"Lithuania",55.41667,24,2910000
"Luxembourg",49.61167,6.13,576000
"Macedonia, FYR",41.66667,21.75,2080000
"Madagascar",-20,47,24900000
"Malawi",-13.5,34,18100000
"Malaysia",2.5,112.5,31200000
"Maldives",3.2,73,428000
"Mali",18,-2,18000000
"Malta",35.91667,14.43333,429000
"Marshall Islands",7.113,171.236,53100
"Mauritania",20.25,-10.5,4300000
"Mauritius",-20.3,57.58333,1260000
"Mexico",19.42847,-99.12766,128000000
"Micronesia, Fed. Sts.",6.924,158.162,105000
"Moldova",47.25,28.58333,4060000
"Mongolia",46,105,3030000
"Montenegro",42.75,19.25,629000
"Morocco",32,-6,35300000
"Mozambique",-18.25,35,28800000
"Myanmar",21,96,52900000
"Namibia",-22,17,2480000
"Nepal",28,84,29000000
"Netherlands",52.25,5.75,17000000
"New Zealand",-42,174,4660000
"Nicaragua",13,-85,6150000
"Niger",18,9,20700000
"Nigeria",10,8,186000000
"Norway",62,10,5250000
"Oman",21,57,4420000
"Pakistan",30,70,193000000
"Panama",8.9936,-79.51973,4030000
"Papua New Guinea",-6,147,8080000
"Paraguay",-23.33333,-58,6730000
"Peru",-10,-75.25,31800000
"Philippines",13,122,103000000
"Poland",52,20,38200000
"Portugal",39.6945,-8.13057,10400000
"Qatar",25.27932,51.52245,2570000
"Romania",46,25,19800000
"Russia",60,100,144000000
"Rwanda",-2,30,11900000
"St. Lucia",13.88333,-60.96667,178000
"St. Vincent and the Grenadines",13.08333,-61.2,110000
"Samoa",-13.8,-172.13333,195000
"Sao Tome and Principe",1,7,200000
"Saudi Arabia",25,45,32300000
"Senegal",14.5,-14.25,15400000
"Serbia",44.81892,20.45998,8820000
"Seychelles",-4.58333,55.66667,94200
"Sierra Leone",8.5,-11.5,7400000
"Singapore",1.28967,103.85007,5620000
"Slovak Republic",48.66667,19.5,5440000
"Slovenia",46.08333,15,2080000
"Solomon Islands",-8,159,599000
"Somalia",6,48,14300000
"South Africa",-29,24,56000000
"Spain",40,-4,46300000
"Sri Lanka",7.75,80.75,20800000
"Sudan",16,30,39600000
"Suriname",4,-56,558000
"Swaziland",-26.5,31.5,1340000
"Sweden",62,15,9840000
"Switzerland",47.00016,8.01427,8400000
"Syria",35,38,18400000
"Tajikistan",39,71,8730000
"Tanzania",-6,35,55600000
"Thailand",15.5,101,68900000
"Timor-Leste",-8.83333,125.75,1270000
"Togo",8.66667,1.08333,7610000
"Tonga",-20,-175,107000
"Trinidad and Tobago",11,-61,1360000
"Tunisia",34,9,11400000
"Turkey",39,35,79500000
"Turkmenistan",39.75,59.66667,5660000
"Uganda",1.25,32.5,41500000
"Ukraine",49,32,44400000
"United Arab Emirates",23.75,54.5,9270000
"United Kingdom",54.75844,-2.69531,65800000
"United States",39.76,-98.5,322000000
"Uruguay",-33,-56,3440000
"Uzbekistan",41.66667,63.83333,31400000
"Vanuatu",-16,167,270000
"Venezuela",8,-66,31600000
"Palestine",31.92157,35.20329,4790000
"Vietnam",16.16667,107.83333,94600000
"Yemen",15.5,47.5,27600000
"Zambia",-14.33333,28.5,16600000
"Zimbabwe",-19,29.75,16200000
"South Sudan",7.5,30,12200000
